pid,ad_title,target_age_group,target_gender,target_mood,target_weather
WK06M29THM1JU9L4,moisture cream for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
RR0XHGWB6OSYHKQO,ladies umbrella for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
8SZZVNV721ALOHCI,warm hoodie for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
G83YWXDPUAC18QR2,thermal wear for kids bringing simple in cold weather,Kids,Male,neutral,cold
PMAHV35HQRZYN5X6,ladies warm hoodie for adults bringing comfort in cold weather,65+,Female,Angry,cold
DISX34HF8QA1FMW6,ladies hot coffee for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
5H5FZHL87EVCKB7Q,umbrella for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
MIWITOFEFO8KI0TD,warm hoodie for young adults bringing delight in cold weather,18-39,Female,Happy,cold
3SYIS3BU457R6433,tea pack for adults bringing simple in rainy weather,65+,Male,neutral,rainy
17JZB6Z5BYCB2MFD,warm hoodie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
XGXPLGDZAUBRRFKV,winter jacket for young adults bringing simple in cold weather,18-39,Female,neutral,cold
EXTCF7REYO69S9MR,hot coffee for kids bringing delight in cold weather,Kids,Male,Happy,cold
5ZXH28JNDAFRYP8V,hot coffee for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
O6FAUFYX9GM2SYFM,soft gloves for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
RBW4WV8V3J9XQ6J8,winter jacket for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
GAEVD8UM8JUUDUIB,hot coffee for kids bringing warmth in cold weather,Kids,Male,Sad,cold
ZDB8WQOZ3UO87ZBZ,umbrella for middle aged adults bringing simple in rainy weather,40-64,Male,neutral,rainy
0XP3XLOZRZE1J36F,soft gloves for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
QMLDIPOHZ0QIPT7I,ladies thermal wear for teenagers bringing comfort in cold weather,10-18,Female,Angry,cold
5U28J0I2C6JBDYMY,windbreaker for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
X6U9BICYGWDTFRGK,windbreaker for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
9HWDYDA3G5JAV4XX,cozy beanie for adults bringing simple in cold weather,65+,Male,neutral,cold
O2N5ZA3YRNPPWXHK,windbreaker for adults bringing simple in rainy weather,65+,Male,neutral,rainy
4DUU3PSGULYCUVPA,windbreaker for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
FQF3DZQYFVEDFEO9,winter jacket for kids bringing comfort in cold weather,Kids,Female,Angry,cold
BVZ9D8K9EG8PM3WN,hot coffee for kids bringing comfort in cold weather,Kids,Female,Angry,cold
85JLOTQN5QD8XKO3,waterproof boots for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
LSYKX7R3VIIR1VUS,thermal wear for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
VVZW4SCXKLUHFIIX,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
IOMC5C2Q3VFVNR9O,moisture cream for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
DTK6MRWJBWE7MODM,raincoat for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
8JYEI5R2U226TGKT,winter jacket for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
9R8VVT97T5R75T1S,winter jacket for young adults bringing delight in cold weather,18-39,Female,Happy,cold
R85V7WJ6TKJZU5SQ,ladies soft gloves for teenagers bringing warmth in cold weather,10-18,Female,Sad,cold
HILBING7RTQ6X8OD,cozy beanie for adults bringing delight in cold weather,65+,Male,Happy,cold
RWK4DRAVFO5EEG6H,hot coffee for adults bringing comfort in cold weather,65+,Male,Angry,cold
FT7LD20JVYAL7F5K,ladies waterproof boots for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
QUDVDQ83601AQ8V5,windbreaker for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
XTID0RCVSIXCKIPD,raincoat for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
E6C6ASYT2NHXSVHD,raincoat for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
BZT1XKCN3XL8YXXF,waterproof boots for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
Q38X9GW7YCDB37V2,tea pack for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
2IYEFUQMAKY3ZX5H,ladies waterproof boots for young adults bringing simple in rainy weather,18-39,Female,neutral,rainy
EM6OM7T8GAAGL387,cozy beanie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
PXIK5F8VE67CO7TY,ladies tea pack for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
4732NRXR7KG3ZM92,cozy beanie for young adults bringing delight in cold weather,18-39,Male,Happy,cold
BTRENZH4HS2UI4JK,umbrella for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
FHVZE3MVWB2Y5XC0,moisture cream for adults bringing simple in rainy weather,65+,Male,neutral,rainy
HT1M4B9JJDE3PH3G,warm hoodie for adults bringing delight in cold weather,65+,Male,Happy,cold
MEEAWAAIPAR3WC9O,thermal wear for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
7RU6SD4840ST5TWB,tea pack for adults bringing delight in rainy weather,65+,Male,Happy,rainy
Z1MQID1PRFPTGOS9,umbrella for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
B1C6NNNO6OLZQHLF,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
O13F0B47VQVZ41O3,moisture cream for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
3BQES0AGVIXXXPMR,raincoat for adults bringing simple in rainy weather,65+,Male,neutral,rainy
Y5KZ3MGA772CEVIW,soft gloves for young adults bringing delight in cold weather,18-39,Male,Happy,cold
9GZVR9JU96Z78EH7,waterproof boots for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
GP1N901IVTVJJZK6,ladies soft gloves for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
Q7TGPUVUKFJM2VGA,umbrella for adults bringing delight in rainy weather,65+,Female,Happy,rainy
9NEHSXHZQTUZJL6Y,winter jacket for middle aged adults bringing simple in cold weather,40-64,Female,neutral,cold
588CWFL1SSGMY1A2,hot coffee for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
11ETHAGV2N7YPL30,cozy beanie for adults bringing delight in cold weather,65+,Male,Happy,cold
TZHM8C4OAAK4HQBA,warm hoodie for adults bringing warmth in cold weather,65+,Male,Sad,cold
YB286X2EJIS6FENG,hot coffee for kids bringing warmth in cold weather,Kids,Male,Sad,cold
JK7ELY6CA2ZXT044,tea pack for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
H34O6DRW2762BPK2,windbreaker for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
7Y7HBT7UZ69TIEGB,warm hoodie for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
535102UY9PAGHLIX,waterproof boots for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
CXUM9YV1S6Y58CE3,moisture cream for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
2QPJ4X4LYO7NSJ25,waterproof boots for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
F5LIU3M4IZV4M0UJ,ladies warm hoodie for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
EM5KGIPVTS6SPN03,ladies winter jacket for young adults bringing delight in cold weather,18-39,Female,Happy,cold
47Y0NPXL9NQAM5ZZ,moisture cream for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
3SWQ2FGL74S46S3V,tea pack for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
WMIDCASMUKJZ04X9,winter jacket for adults bringing comfort in cold weather,65+,Male,Angry,cold
FT1WP43KVZWADZOP,waterproof boots for adults bringing simple in rainy weather,65+,Male,neutral,rainy
VSY9RGGE0TM1KHLK,moisture cream for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
OLUCLKMBM3VLUFXG,warm hoodie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
5X7WUHQINK28941E,waterproof boots for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
5YMRZJQSFIADX7I0,moisture cream for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
8E0YH9ZTLDBY49C6,soft gloves for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
07JYT3XY6TJB11H8,warm hoodie for adults bringing delight in cold weather,65+,Female,Happy,cold
3UMQRZXS12L3XBVQ,windbreaker for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
OR5O8XP92F0QWG6T,winter jacket for kids bringing simple in cold weather,Kids,Male,neutral,cold
LPFVS29HCGPV0HIQ,tea pack for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
H7VX4LU1NLN36Y6P,soft gloves for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
4ATGJ777DWFAGTWD,ladies hot coffee for adults bringing delight in cold weather,65+,Female,Happy,cold
333OYJO14OD6P0OC,windbreaker for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
EQIKQ2EKXNB0XEJZ,warm hoodie for kids bringing comfort in cold weather,Kids,Female,Angry,cold
UG8F3M1DTZ7C3MJB,waterproof boots for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
XYM0AXIZQPXYSWVJ,moisture cream for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
WCXQBC3GT5VRJLS9,ladies umbrella for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
1RBG35ZIKZP3CTD8,moisture cream for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
MI33SBK14DEU569A,soft gloves for young adults bringing simple in cold weather,18-39,Male,neutral,cold
ARED7DE7XY567EU3,ladies soft gloves for kids bringing delight in cold weather,Kids,Female,Happy,cold
3MI5KWJXOHO8LE19,thermal wear for kids bringing delight in cold weather,Kids,Female,Happy,cold
BW189KYMZJXN3S2J,soft gloves for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
LQDU64MD1PD2OUE6,cozy beanie for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
LU693MQ2O6B9L49J,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Female,Happy,rainy
7EHOFVC8APE68MUS,ladies waterproof boots for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
MWR7VH5E9NQZ3FE6,soft gloves for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
YSVL0RHAYQ6VW07B,ladies thermal wear for middle aged adults bringing comfort in cold weather,40-64,Female,Angry,cold
5PIMF20GSC3ELIAC,ladies cozy beanie for middle aged adults bringing comfort in cold weather,40-64,Female,Angry,cold
2J1TR92KML2GORHK,ladies cozy beanie for middle aged adults bringing simple in cold weather,40-64,Female,neutral,cold
5PR6GHR291R9UWCR,winter jacket for kids bringing simple in cold weather,Kids,Female,neutral,cold
M96OT4JEEX0ESHNZ,waterproof boots for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
Y52IBPK1WBZZQN41,windbreaker for young adults bringing comfort in rainy weather,18-39,Male,Angry,rainy
TIM7QLI6IU4G025D,thermal wear for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
TSH52G6714RY57EQ,moisture cream for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
SO83P0PEQ16LGEYQ,windbreaker for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
HK1KXCJW83NDSEI7,thermal wear for kids bringing simple in cold weather,Kids,Female,neutral,cold
JW2ZH32C3L03QOG9,tea pack for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
O5QSIF4JQRAFBDRY,raincoat for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
BOC65U9BID7IXG5J,windbreaker for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
WX612KY5F999IGZ2,windbreaker for kids bringing delight in rainy weather,Kids,Female,Happy,rainy
XYV3NPK4QMMK6SCB,ladies tea pack for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
YPBAOCHIT8ULGC0V,raincoat for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
LM0MTQD0MTW0QQAO,soft gloves for teenagers bringing delight in cold weather,10-18,Male,Happy,cold
L5VPZZH5Y32I62UX,thermal wear for teenagers bringing warmth in cold weather,10-18,Female,Sad,cold
AOMQQDRLT0QADL4T,raincoat for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
2YXBJ7EDDGVBUSLH,ladies hot coffee for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
5LUKEMFA82QQ6L3F,raincoat for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
UL3GKA3GER2QS680,raincoat for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
4IQ78AIVUX7BJTPK,ladies cozy beanie for adults bringing warmth in cold weather,65+,Female,Sad,cold
RVKGMOXOAS4YQTF1,windbreaker for middle aged adults bringing warmth in rainy weather,40-64,Male,Sad,rainy
4RWK232WYQ022QEX,raincoat for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
1ZLGH0B6SPCGMG74,thermal wear for kids bringing comfort in cold weather,Kids,Female,Angry,cold
EN305E818C45AP5V,tea pack for kids bringing comfort in rainy weather,Kids,Female,Angry,rainy
L9IK37YB9AUY1QI7,moisture cream for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
8NHKVBM6XPSRGWZV,warm hoodie for kids bringing warmth in cold weather,Kids,Male,Sad,cold
NFJSKFD6WHBIJHWU,tea pack for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
OA1C84LW5YOMRLEA,tea pack for teenagers bringing simple in rainy weather,10-18,Female,neutral,rainy
H1LIYG8WZ0U8R9I5,moisture cream for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
E9EROUYDNWO4CHYT,warm hoodie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
NBUU192N36SJI2Y7,warm hoodie for kids bringing delight in cold weather,Kids,Female,Happy,cold
J76F5NQZ4S3OKF0H,ladies warm hoodie for adults bringing delight in cold weather,65+,Female,Happy,cold
12Z25QHVF014WQWU,windbreaker for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
SF7AUXZO7Z5259OO,tea pack for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
T42IZWYX4GCB1ZWA,waterproof boots for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
Y5ET2PLWY153T0W3,thermal wear for teenagers bringing comfort in cold weather,10-18,Female,Angry,cold
D3CEKR4ZE17GKYV5,windbreaker for adults bringing simple in rainy weather,65+,Female,neutral,rainy
2RO0Z7ZD6G7TDG2Z,umbrella for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
MPBJNSTZDSK2656Q,raincoat for middle aged adults bringing simple in rainy weather,40-64,Male,neutral,rainy
8W0SUH8VY3Z3L5GG,umbrella for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
PIFOYP9XILTR3GP8,raincoat for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
F6TS1OUMRQU9PHOW,raincoat for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
NI3ISR2RMAPWJJY8,moisture cream for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
ENXIMTLJX16WKD87,waterproof boots for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
5992MLHW14DM0UHA,ladies soft gloves for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
4JEEDCK2IPVOOJOK,winter jacket for young adults bringing delight in cold weather,18-39,Female,Happy,cold
SREU2X51TX7GJKFT,windbreaker for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
5IXLRPA7XNCQKOIE,raincoat for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
VC9O0971UF6GFSPP,winter jacket for young adults bringing delight in cold weather,18-39,Male,Happy,cold
E0MH3OMXGKA92ULQ,ladies hot coffee for adults bringing warmth in cold weather,65+,Female,Sad,cold
Z4PVI68EDXZR00O4,cozy beanie for teenagers bringing delight in cold weather,10-18,Male,Happy,cold
C621ILJUKGW55G9A,ladies raincoat for kids bringing delight in rainy weather,Kids,Female,Happy,rainy
TKQ0JGYFVAX3YMYI,warm hoodie for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
MCV1ZUDMFJUA2DHX,soft gloves for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
NPTFZWGV8YC2MP94,waterproof boots for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
SKVNT5Z6IYQRJQYO,warm hoodie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
760P84LC0HZC7HVD,ladies moisture cream for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
VUIJGFR4NGAS6H8V,windbreaker for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
Y15P23G2NHZVJSAD,hot coffee for young adults bringing simple in cold weather,18-39,Male,neutral,cold
8X06TFBPW2ZF0FG1,ladies windbreaker for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
